algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1462,9548,8
MergeSort,sorted,1000,0.0667,4236,8
MergeSort,duplicates,1000,0.1076,9104,8
QuickSort,random,1000,0.987,18051,6
QuickSort,sorted,1000,0.9279,17381,6
QuickSort,duplicates,1000,0.2012,5195,3
QuickSelect,random,1000,0.0384,5569,13
QuickSelect,sorted,1000,0.0271,4622,14
QuickSelect,duplicates,1000,0.0275,2774,3
MergeSort,random,10000,1.2492,126991,11
MergeSort,sorted,10000,0.7971,59248,11
MergeSort,duplicates,10000,1.1349,121453,11
QuickSort,random,10000,0.8193,241073,8
QuickSort,sorted,10000,0.4456,240738,9
QuickSort,duplicates,10000,0.1075,50806,3
QuickSelect,random,10000,0.0959,50110,15
QuickSelect,sorted,10000,0.0405,43996,16
QuickSelect,duplicates,10000,0.0814,33201,4
MergeSort,random,100000,7.4155,1639859,14
MergeSort,sorted,100000,1.9646,744016,14
MergeSort,duplicates,100000,5.9913,1562046,14
QuickSort,random,100000,9.1275,3110969,11
QuickSort,sorted,100000,6.4254,3245440,11
QuickSort,duplicates,100000,1.3323,539948,2
QuickSelect,random,100000,0.8868,533406,19
QuickSelect,sorted,100000,0.483,492905,24
QuickSelect,duplicates,100000,0.9089,370156,5
MergeSort,random,1000000,85.4309,19887408,18
MergeSort,sorted,1000000,24.6571,9071040,18
MergeSort,duplicates,1000000,44.9067,18921430,18
QuickSort,random,1000000,93.5426,36496857,13
QuickSort,sorted,1000000,62.7768,38750569,13
QuickSort,duplicates,1000000,13.1829,5300349,2
QuickSelect,random,1000000,9.2005,5865201,27
QuickSelect,sorted,1000000,4.5592,6090416,27
QuickSelect,duplicates,1000000,7.9265,3703358,5
